2023-11-23 23:12:42,469 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-23 23:12:42,470 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Configure stats pid to 16156
2023-11-23 23:12:42,470 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Loading settings from C:\Users\COMPUTOCKS\.config\wandb\settings
2023-11-23 23:12:42,470 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Loading settings from C:\Users\COMPUTOCKS\Desktop\semestre_5\machine_learning\wandb\settings
2023-11-23 23:12:42,470 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'EstrogenReceptor_FeedForwardNN', 'entity': 'simios', 'root_dir': 'C:\\Users\\COMPUTOCKS\\Desktop\\semestre_5\\machine_learning', 'run_id': 'zhz1pm3e', 'sweep_param_path': 'C:\\Users\\COMPUTOCKS\\Desktop\\semestre_5\\machine_learning\\wandb\\sweep-zb8uv0ex\\config-zhz1pm3e.yaml', 'sweep_id': 'zb8uv0ex'}
2023-11-23 23:12:42,470 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'final.py', 'program_abspath': 'c:\\Users\\COMPUTOCKS\\Desktop\\semestre_5\\machine_learning\\final.py', 'program': 'c:/Users/COMPUTOCKS/Desktop/semestre_5/machine_learning/final.py'}
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\COMPUTOCKS\Desktop\semestre_5\machine_learning\wandb\run-20231123_231242-zhz1pm3e\logs\debug.log
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\COMPUTOCKS\Desktop\semestre_5\machine_learning\wandb\run-20231123_231242-zhz1pm3e\logs\debug-internal.log
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_init.py:init():564] calling init triggers
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_init.py:init():572] wandb.init called with sweep_config: {'batch_size': 38, 'delta_es': 0.05251341139292049, 'epochs': 2000, 'learning_rate': 0.027355997487589427, 'patience': 19, 'weight_decay_opt': 0.3999028679407335}
config: {}
2023-11-23 23:12:42,471 INFO    Thread-522:16156 [wandb_init.py:init():614] starting backend
2023-11-23 23:12:42,472 INFO    Thread-522:16156 [wandb_init.py:init():618] setting up manager
2023-11-23 23:12:42,482 INFO    Thread-522:16156 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=spawn, using: spawn
2023-11-23 23:12:42,483 INFO    Thread-522:16156 [wandb_init.py:init():624] backend started and connected
2023-11-23 23:12:42,505 INFO    Thread-522:16156 [wandb_run.py:_config_callback():1342] config_cb None None {'batch_size': 38, 'delta_es': 0.05251341139292049, 'epochs': 2000, 'learning_rate': 0.027355997487589427, 'patience': 19, 'weight_decay_opt': 0.3999028679407335}
2023-11-23 23:12:42,506 INFO    Thread-522:16156 [wandb_init.py:init():716] updated telemetry
2023-11-23 23:12:42,557 INFO    Thread-522:16156 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-23 23:12:42,969 INFO    Thread-522:16156 [wandb_run.py:_on_init():2254] communicating current version
2023-11-23 23:12:43,318 INFO    Thread-522:16156 [wandb_run.py:_on_init():2263] got version response 
2023-11-23 23:12:43,318 INFO    Thread-522:16156 [wandb_init.py:init():800] starting run threads in backend
2023-11-23 23:12:43,474 INFO    Thread-522:16156 [wandb_run.py:_console_start():2233] atexit reg
2023-11-23 23:12:43,474 INFO    Thread-522:16156 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-23 23:12:43,474 INFO    Thread-522:16156 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-23 23:12:43,474 INFO    Thread-522:16156 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-23 23:12:43,475 INFO    Thread-522:16156 [wandb_init.py:init():841] run started, returning control to user process
2023-11-23 23:12:43,686 INFO    Thread-522:16156 [wandb_run.py:_finish():1962] finishing run simios/EstrogenReceptor_FeedForwardNN/zhz1pm3e
2023-11-23 23:12:43,686 INFO    Thread-522:16156 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-23 23:12:43,686 INFO    Thread-522:16156 [wandb_run.py:_restore():2185] restore
2023-11-23 23:12:43,686 INFO    Thread-522:16156 [wandb_run.py:_restore():2191] restore done
2023-11-23 23:12:48,099 INFO    Thread-522:16156 [wandb_run.py:_footer_history_summary_info():3760] rendering history
2023-11-23 23:12:48,099 INFO    Thread-522:16156 [wandb_run.py:_footer_history_summary_info():3792] rendering summary
2023-11-23 23:12:48,109 INFO    Thread-522:16156 [wandb_run.py:_footer_sync_info():3719] logging synced files
